Device Name                     ,OS Version
Samsung Galaxy S21 Ultra        ,11.0
Samsung Galaxy S21              ,11.0
Samsung Galaxy S21 Plus         ,11.0
Samsung Galaxy S20              ,10.0
Samsung Galaxy S20 Plus         ,10.0
Samsung Galaxy S20 Ultra        ,10.0
Samsung Galaxy Note 20 Ultra    ,10.0
Samsung Galaxy Note 20          ,10.0
Samsung Galaxy A51              ,10.0
Samsung Galaxy A11              ,10.0
Samsung Galaxy S9 Plus          ,9.0
Samsung Galaxy S8 Plus          ,9.0
Samsung Galaxy S10e             ,9.0
Samsung Galaxy S10 Plus         ,9.0
Samsung Galaxy S10              ,9.0
Samsung Galaxy Note 10 Plus     ,9.0
Samsung Galaxy Note 10          ,9.0
Samsung Galaxy A10              ,9.0
Samsung Galaxy Note 9           ,8.1
Samsung Galaxy J7 Prime         ,8.1
Samsung Galaxy S9 Plus          ,8.0
Samsung Galaxy S9               ,8.0
Samsung Galaxy Note 8           ,7.1
Samsung Galaxy A8               ,7.1
Samsung Galaxy S8 Plus          ,7.0
Samsung Galaxy S8               ,7.0
Samsung Galaxy S7               ,6.0
Samsung Galaxy S6               ,5.0
Samsung Galaxy S5               ,4.4
Samsung Galaxy Tab S7           ,10.0
Samsung Galaxy Tab S6           ,9.0
Samsung Galaxy Tab S5e          ,9.0
Samsung Galaxy Tab S4           ,8.1
Samsung Galaxy Tab S3           ,8.0
Samsung Galaxy Tab 4            ,4.4
